rank,arab,exchange_art_url,score
1,ArabPunkz #2540,https://exchange.art/single/5oZhFjnQuV1DqDVUYjac6sT1i3T4z8RqEjvRzjkzqk8b,0.00000000153357766449%
2,ArabPunkz #2877,https://exchange.art/single/66maojYgXVtcL4yBGKppaGwaiDNyrsPS1XGUjy7HmRck,0.00000000204056318507%
3,ArabPunkz #1289,https://exchange.art/single/AbVdj8Xemu1XRcMGiwP5Tu9noR7uG3KLECzzMXHxCXrs,0.00000000472261935964%
4,ArabPunkz #2913,https://exchange.art/single/5MTkbfm3HWV2TYtWPVVSAwJYh5iBWE8heHnPWGo5KKKe,0.00000000540332769148%
5,ArabPunkz #2395,https://exchange.art/single/3hYnU36ggKQXCFXrHhMCjanDFERNLpfjuTiZeE4BttSe,0.00000000554354924633%
6,ArabPunkz #1912,https://exchange.art/single/KgEC9TJuktxo71A6cxLMXjnpEvwkxCMVDBa6mGm6K1i,0.00000000590294979012%
7,ArabPunkz #4279,https://exchange.art/single/4wZNGiv8AifkLhXyqQC13d953nkpPNX9vUBBweP5DBC9,0.00000000620920991316%
8,ArabPunkz #1605,https://exchange.art/single/FeiRau2h8eN3ZVSdYcdgNbCh995Wvp7Hj32RtaFpZQpg,0.00000000653819705589%
9,ArabPunkz #3982,https://exchange.art/single/k5Q5Ah2CJfryXesufBtjiKJYYc9hUvGiG5L6aVDerwv,0.00000000940687957239%
10,ArabPunkz #1218,https://exchange.art/single/3GbuU9SHcHN5UQwenWz4MGTty5KXNMoLrngTMKfjkrDV,0.00000001509817233190%
11,ArabPunkz #365,https://exchange.art/single/LugcA1oP1vNWTqpNt4NZLbLRWZycBA5Fo7NRwoWq6Lc,0.00000001618066862885%
12,ArabPunkz #3169,https://exchange.art/single/E3soGAFm4FE5qTJmTMgYvKPuo7ByCt1zRZDbrCwtxPC7,0.00000001856699672231%
13,ArabPunkz #2015,https://exchange.art/single/BZg97aEiYCMnvqWJFbotQtkmg3Zau2xkBW6amEN5FUsa,0.00000002017253660154%
14,ArabPunkz #2892,https://exchange.art/single/CQHGM6jMeLrxBHkDJ7crmikCVrNSPvizTgi7dcZUNgMg,0.00000002126446126941%
15,ArabPunkz #2952,https://exchange.art/single/FQy7LrK4qxUrKznDHkzg2k7ek6SVYHNUSLtWLkCGhoTF,0.00000002362498777303%
16,ArabPunkz #1440,https://exchange.art/single/8k2xCSQeGy3rPbR6E48naG551CoURobZcQfV2NF7ttBS,0.00000002589932382571%
17,ArabPunkz #2879,https://exchange.art/single/DgccgdjUqcXzwYiEPmiUKcNoko6u4CofvHJqPTAwdQJY,0.00000002771727524409%
18,ArabPunkz #4090,https://exchange.art/single/23bMWrR2WUTpe2cUhCtsgfDkCfLEQrLstrMFsGfeeJVB,0.00000002823889472340%
19,ArabPunkz #1876,https://exchange.art/single/A6vdne3v1FprRRp87nczmTSurbn5kyGMZgkmhUBxtCYh,0.00000002986540362971%
20,ArabPunkz #709,https://exchange.art/single/9T6ZKWHAAb36JFnN8gmJ5Wd2XxpF9GBzQ4irWq3NhMzF,0.00000003014217169219%
21,ArabPunkz #3124,https://exchange.art/single/9fFFdpSqtE4eQ14a37nkvGnUmZhQfEFEpPZTy8AJk5dZ,0.00000003024915794503%
22,ArabPunkz #3476,https://exchange.art/single/FXCjLH4xssLg4nXBhEH6CRhwfiPUQieC4eA4H5dHzx7J,0.00000003055738976983%
23,ArabPunkz #1020,https://exchange.art/single/6CuHGyeGU5JUp14xWT88EgrK3f5GiwGbRJNtH9YNH2Xx,0.00000003131912661820%
24,ArabPunkz #433,https://exchange.art/single/HBNtzX9XuzMUkXQR2MbUAYddgi1wZt25W4NuuChC12Ss,0.00000003406412456921%
25,ArabPunkz #4739,https://exchange.art/single/J8kh9Wdvkx7Cr4Rouu7WhgMGqfsgC7gorSmzsf5RdGGt,0.00000003440575044048%
26,ArabPunkz #3133,https://exchange.art/single/CiQuLVJbh7UkDNP61iAYfrQVaCV89nnpZbPgmKYkcft7,0.00000003492663945957%
27,ArabPunkz #874,https://exchange.art/single/SVPYsXyyE8WsYV3PYr6FjRo5NRFkVZaV6jbamvpcKYJ,0.00000003543946683210%
28,ArabPunkz #4469,https://exchange.art/single/3HTJkAXFnC6nZQKeNrNJokh7XinUE5GyK3RXgwDjMfzu,0.00000003550245041376%
