rank,token,image_url,score
1,Gorilla Club Member #1391,https://www.arweave.net/HAQZwQnbuqqQeuLQ9GhUg18ytCUKsrcy-xIGzwztS9A?ext=png,0.00000000057568469896%
2,Gorilla Club Member #0636,https://www.arweave.net/Be8VFugMmoBT_ACTEpTEOY8c1uDFHPrzUZAcBnBS8Mo?ext=png,0.00000000068970696741%
3,Gorilla Club Member #0266,https://www.arweave.net/gUXA_X-GuQ9mt5VxKWp0R_SlOvz03ba2DBsQIjWF_HQ?ext=png,0.00000000083561402093%
4,Gorilla Club Member #1582,https://www.arweave.net/wYPqRskkeuHhHXC-iwyPk1zB94r8CbCJgck_0zx3pZo?ext=png,0.00000000083581267394%
5,Gorilla Club Member #1106,https://www.arweave.net/eCu1WTE6XsCd6Pc6zTcsbTizFBCfi1dc06J_7oX3SWE?ext=png,0.00000000091802375662%
6,Gorilla Club Member #0155,https://www.arweave.net/X5cnObTIePmEEj1bqOjsdXYNrGwLSVE_QUtAYX_8ZX0?ext=png,0.00000000092820618885%
7,Gorilla Club Member #0081,https://www.arweave.net/CiT5U1c9ZJ2Ag3fuU_F9i6w8eXpb2uM60dfG_HQRJwM?ext=png,0.00000000098297417236%
8,Gorilla Club Member #1567,https://www.arweave.net/EU85CmQ-Pg0-UPiWT6WRd1Ae-9NIQSCz2PtmNP7vInQ?ext=png,0.00000000120437979079%
9,Gorilla Club Member #1102,https://www.arweave.net/q655Q9zPfJS66KDIMmGj02JsUdWsZkgwie8x0p9cQ2g?ext=png,0.00000000126198265046%
10,Gorilla Club Member #2428,https://www.arweave.net/85G9zW-FlSftVv6e_9IZGYHsF1WajhvORw7Mi-_3cI0?ext=png,0.00000000127598801332%
11,Gorilla Club Member #0138,https://www.arweave.net/DuV2LtBnHG8DwKFJ7deutzsk6sAaW7RtDjCI7GKXCRQ?ext=png,0.00000000127661458445%
12,Gorilla Club Member #0225,https://www.arweave.net/bNj53S8byJ_ZJV-Ndt8HJDfcHxPUcYgxkcHBZK6Lx08?ext=png,0.00000000132145805899%
13,Gorilla Club Member #1426,https://www.arweave.net/JQ1M1hj8MfVi_nN4a1EZQa4-ck3fNS7Fyqw5urDhpI0?ext=png,0.00000000143429427126%
