rank,token,image_url,score
1,Solluminati #207,https://www.arweave.net/SK9TFrzS8txef1W2A__mQbCPZ_w0uvya01mfi7yHWR0?ext=png,0.00000000000000053384%
2,Solluminati #2162,https://www.arweave.net/bMatgZ3phi5ewadTURpj0R30QOVFDC9Qz89V7dIb0do?ext=png,0.00000000000002416719%
3,Solluminati #259,https://www.arweave.net/C0NhcinHWqOONDKCxphQB84DI94pqRAijzfwH_mJV1o?ext=png,0.00000000000004118377%
4,Solluminati #528,https://www.arweave.net/OY1V3Aa_Z0MT4QHNbmyejtqwa3sSVGtIBnPJZCQIT6o?ext=png,0.00000000000009213439%
5,Solluminati #1188,https://www.arweave.net/S0DH8gekNX-92nDcqxnZo8MKQ7adURcs4EC-Q2y3ybI?ext=png,0.00000000000017710059%
6,Solluminati #14,https://www.arweave.net/s-uHVCfxJxvmhc5LuOP1rFnD33nurrXuBCDZcCeEPfQ?ext=png,0.00000000000018542892%
7,Solluminati #648,https://www.arweave.net/r86KX9IHpNZoNAYhz5w16pxthXh3PA6o97gDoEaO3nE?ext=png,0.00000000000028261694%
8,Solluminati #2634,https://www.arweave.net/6MDRkq-smVC-_Ai0-uGuTFYhro4ZwGmGbpvwOz7TGqs?ext=png,0.00000000000039515233%
9,Solluminati #2736,https://www.arweave.net/mIvz3oHzTPfUFTlZ_g_TSUgLVWh9AYgrhPRsR00gTtY?ext=png,0.00000000000055796168%
10,Solluminati #3071,https://www.arweave.net/ns26x1YtOrve9ipXmc-sa60P5r9AbrhiX34DnAYsdVs?ext=png,0.00000000000070276281%
11,Solluminati #2676,https://www.arweave.net/lrg3qLZ5I-A0VhCsLzz9eY4Ba3IvZIJXHJoZpcMgplc?ext=png,0.00000000000077939525%
12,Solluminati #3592,https://www.arweave.net/SW6DcUJo4NbKQsfikvUJkM7uf5YztL7M0dg8QgNs21w?ext=png,0.00000000000096800607%
13,Solluminati #3251,https://www.arweave.net/n8QHSaj0qn5ofZQIzhvGV_OL4XwnzItYzy0gI3tu6MI?ext=png,0.00000000000100339469%
14,Solluminati #3458,https://www.arweave.net/nylzAwP9W8lDNesE7c_2-PKHWdm3WfsJj1jgiXZmNUM?ext=png,0.00000000000101640857%
15,Solluminati #1187,https://www.arweave.net/2f2u63knR5itj7u35abDvQMiBS9a4dOz6Fap8A5XRWE?ext=png,0.00000000000112403970%
16,Solluminati #1414,https://www.arweave.net/4Zl6H6jH5K9mMB8j5-FXCtXEGzmDJyS5D0u6FrlXLaw?ext=png,0.00000000000116666312%
17,Solluminati #3566,https://www.arweave.net/Lj-XjuOuicOnFZTbYkU5SxD_HJK19x1Am502Um-oH8I?ext=png,0.00000000000118011760%
18,Solluminati #2209,https://www.arweave.net/uD-sBqLFi8KjMUq6DCGvD58a4cmyYMIeMjvz3LTphZw?ext=png,0.00000000000120748557%
19,Solluminati #2979,https://www.arweave.net/usgouf9XUI-oP08KTs2enUm2WGKZSMwGouIB-ez7Jlc?ext=png,0.00000000000164801229%
20,Solluminati #1569,https://www.arweave.net/9BBjHWSVNjiTa34UnFQhn5a7Anf-xnREiwK_cEUiP7A?ext=png,0.00000000000175985546%
21,Solluminati #859,https://www.arweave.net/PIolw8TDkFOR9yEqGVdAbB5IOmSacZoc0KfRFJn3DDg?ext=png,0.00000000000181681844%
22,Solluminati #2765,https://www.arweave.net/CEcmJzi9_caTQzYTDG1z_DxI7_vdEGJE7qktuje8VYM?ext=png,0.00000000000189635835%
23,Solluminati #1114,https://www.arweave.net/lxEj32HP0iCH-J4iOJgt3QkKueXPwRBNX2EREWzHqks?ext=png,0.00000000000193041631%
24,Solluminati #449,https://www.arweave.net/IkvEfhN2lNvkCfXgfmspG_7RA8hdVRtHtL1wET933Oc?ext=png,0.00000000000197788185%
25,Solluminati #1443,https://www.arweave.net/Z2hyom8MW3--KBGnkXiEx7CU4S3svbGVmRYOFVzs5d8?ext=png,0.00000000000206978973%
26,Solluminati #3032,https://www.arweave.net/qz3T3F5yJpBVoq7VAu4t-M-C2k50vvRwU81n6Sm3my0?ext=png,0.00000000000215052398%
27,Solluminati #1970,https://www.arweave.net/qri1jqThyH2VA8Co_Z30_aBy0PvW-2ROEbwZ6J4oTbg?ext=png,0.00000000000225423622%
28,Solluminati #2639,https://www.arweave.net/MHiAOS8WcC60SzUHPpg3NTQlfqbIjtqMP7wsRh2Vh0o?ext=png,0.00000000000249581377%
29,Solluminati #284,https://www.arweave.net/g0mtuzMumNsoouUSSf53rRDoShh1JE4MKYVJitBXK_s?ext=png,0.00000000000269094401%
30,Solluminati #2244,https://www.arweave.net/X-sIrYKGB6QJlgSmXSzY8CSxeQHo_rTunqenSUT7kTE?ext=png,0.00000000000271380515%
31,Solluminati #563,https://www.arweave.net/0iB0DxLnpOnXHCSZANm_OCCiYmlL-ayHTr_GF8obyEI?ext=png,0.00000000000275739670%
32,Solluminati #1760,https://www.arweave.net/8JfltQrMZEP5IjNhAxyQhNcad2YN-jbMOaBFInYhPt4?ext=png,0.00000000000284009194%
33,Solluminati #2424,https://www.arweave.net/M9QR-ACv8tiN3J5_7z_XlRowyIUAJxE2s-mExQQAhrU?ext=png,0.00000000000285794646%
34,Solluminati #1089,https://www.arweave.net/XUXPy2Vcg0Kf4dV0wy-XbdFd6NJca864mgIkXe2SFRY?ext=png,0.00000000000291451397%
35,Solluminati #1049,https://www.arweave.net/hkOKUw0GW1qLbGgGpMk8K6HOLT8INAWETS63_HdaWy4?ext=png,0.00000000000294446570%
36,Solluminati #792,https://www.arweave.net/lBazGlAgVwLGnynrgzOXUDh-aVBrIZvaYdTiHZUDjM0?ext=png,0.00000000000334010770%
